Accepted Symbol,Synonym Symbol,Scientific Name,Hybrid Genus Indicator,Genus,Hybrid Species Indicator,Species,Subspecies Prefix,Hybrid Subspecies Indicator,Subspecies,Variety Prefix,Hybrid Variety Indicator,Variety,Subvariety Prefix,Subvariety,Forma Prefix,Forma,Genera/Binomial Author,Trinomial Author,Quadranomial Author,Questionable Taxon Indicator,Parents,Genus,Family,Family Symbol,Kingdom
ABELI,,Abelia,,Abelia,,,,,,,,,,,,,R. Br.,,,,,Abelia,Caprifoliaceae,CAPRIF,Plantae
ABGR4,,Abelia ×grandiflora,,Abelia,×,grandiflora,,,,,,,,,,,(Rovelli ex André) Rehder,,,,chinensis × uniflora,Abelia,Caprifoliaceae,CAPRIF,Plantae
ABELM,,Abelmoschus,,Abelmoschus,,,,,,,,,,,,,Medik.,,,,,Abelmoschus,Malvaceae,MALVAC,Plantae
ABES,,Abelmoschus esculentus,,Abelmoschus,,esculentus,,,,,,,,,,,(L.) Moench,,,,,Abelmoschus,Malvaceae,MALVAC,Plantae
ABES,HIES,Hibiscus esculentus,,Hibiscus,,esculentus,,,,,,,,,,,L.,,,,,Hibiscus,,,
ABMA9,,Abelmoschus manihot,,Abelmoschus,,manihot,,,,,,,,,,,(L.) Medik. [excluded],,,,,Abelmoschus,Malvaceae,MALVAC,Plantae
ABMA9,HIMA9,Hibiscus manihot,,Hibiscus,,manihot,,,,,,,,,,,L.,,,,,Hibiscus,,,
ABMO,,Abelmoschus moschatus,,Abelmoschus,,moschatus,,,,,,,,,,,Medik.,,,,,Abelmoschus,Malvaceae,MALVAC,Plantae
ABMO,HIAB,Hibiscus abelmoschus,,Hibiscus,,abelmoschus,,,,,,,,,,,L.,,,,,Hibiscus,,,
ABIES,,Abies,,Abies,,,,,,,,,,,,,Mill.,,,,,Abies,Pinaceae,PINACE,Plantae
ABAL3,,Abies alba,,Abies,,alba,,,,,,,,,,,Mill.,,,,,Abies,Pinaceae,PINACE,Plantae
ABAM,,Abies amabilis,,Abies,,amabilis,,,,,,,,,,,(Douglas ex Loudon) Douglas ex Forbes,,,,,Abies,Pinaceae,PINACE,Plantae
ABBA,,Abies balsamea,,Abies,,balsamea,,,,,,,,,,,(L.) Mill.,,,,,Abies,Pinaceae,PINACE,Plantae
ABBAB,,Abies balsamea var. balsamea,,Abies,,balsamea,,,,var.,,balsamea,,,,,(L.) Mill.,(L.) Mill.,,,,Abies,Pinaceae,PINACE,Plantae
ABBAB,PIBA3,Pinus balsamea,,Pinus,,balsamea,,,,,,,,,,,L.,,,,,Pinus,,,
ABBAP,,Abies balsamea var. phanerolepis,,Abies,,balsamea,,,,var.,,phanerolepis,,,,,(L.) Mill.,Fernald,,,,Abies,Pinaceae,PINACE,Plantae
ABBAP,ABPH,Abies ×phanerolepis,,Abies,×,phanerolepis,,,,,,,,,,,(Fernald) Liu,,,,,Abies,,,
ABBR,,Abies bracteata,,Abies,,bracteata,,,,,,,,,,,(D. Don) D. Don ex Poit.,,,,,Abies,Pinaceae,PINACE,Plantae
ABBR,ABVE,Abies venusta,,Abies,,venusta,,,,,,,,,,,(Douglas) K. Koch,,,,,Abies,,,
ABCO,,Abies concolor,,Abies,,concolor,,,,,,,,,,,(Gord. & Glend.) Lindl. ex Hildebr.,,,,,Abies,Pinaceae,PINACE,Plantae
ABCO,ABCOC,Abies concolor var. concolor,,Abies,,concolor,,,,var.,,concolor,,,,,(Gord. & Glend.) Lindl. ex Hildebr.,(Gord. & Glend.) Lindl. ex Hildebr.,,,,Abies,,,
ABFI,,Abies firma,,Abies,,firma,,,,,,,,,,,Siebold & Zucc.,,,,,Abies,Pinaceae,PINACE,Plantae
ABFR,,Abies fraseri,,Abies,,fraseri,,,,,,,,,,,(Pursh) Poir.,,,,,Abies,Pinaceae,PINACE,Plantae
ABFR,PIFR,Pinus fraseri,,Pinus,,fraseri,,,,,,,,,,,Pursh,,,,,Pinus,,,
ABGR,,Abies grandis,,Abies,,grandis,,,,,,,,,,,(Douglas ex D. Don) Lindl.,,,,,Abies,Pinaceae,PINACE,Plantae
ABGR,ABGRG,Abies grandis var. grandis,,Abies,,grandis,,,,var.,,grandis,,,,,(Douglas ex D. Don) Lindl.,,,,,Abies,,,
